OriginStateName,avg(Cancelled),OriginStateName_Grupo
Delaware,0.04242424242424243,8
New Jersey,0.04125686783509883,8
Maine,0.04076947112445489,8
Vermont,0.03908303192735032,7
Rhode Island,0.03668524209319081,7
New York,0.03639275202985827,7
North Dakota,0.03526501329704991,7
New Hampshire,0.03509050492219752,7
Illinois,0.03405229010042385,6
South Dakota,0.034010176273215606,6
West Virginia,0.033959343026386646,6
Louisiana,0.032903770993979085,6
Maryland,0.032646948155908545,6
Virginia,0.03162607806739467,6
South Carolina,0.03144299705662112,6
Kansas,0.031032892714417462,6
Connecticut,0.03064220357824926,6
Massachusetts,0.030630726411834616,6
Pennsylvania,0.030433724044381064,6
Iowa,0.030413014102075465,6
Missouri,0.029845279036751923,5
Texas,0.0297674259385679,5
North Carolina,0.029099420402002734,5
Arkansas,0.02857366253713968,5
Wisconsin,0.02853710887501723,5
Ohio,0.028048509148796103,5
Mississippi,0.02804719104927301,5
Tennessee,0.027995060457555666,5
Kentucky,0.027972736716750702,5
Indiana,0.02755577788112443,5
Oklahoma,0.027405081358835286,5
Colorado,0.027097459617896946,5
Wyoming,0.027022430105240778,5
Nebraska,0.02693154596268783,5
Alabama,0.02686488446451528,5
Florida,0.025690468572362197,5
New Mexico,0.024674157303370785,4
Nevada,0.02445422349085527,4
Alaska,0.022406439227934595,4
California,0.022224541577908093,4
Arizona,0.02096952021011149,4
Michigan,0.020398981026229862,4
Minnesota,0.018615980541051177,3
Oregon,0.018374248122175783,3
Puerto Rico,0.01818036264659969,3
Washington,0.01800303550772102,3
Montana,0.0169204606341096,3
Idaho,0.016749099079383142,3
Georgia,0.01663091905718243,3
Hawaii,0.014658423001998211,2
U.S. Virgin Islands,0.014471537914592832,2
Utah,0.012755547789620828,2
U.S. Pacific Trust Territories and Possessions,0.00671858298976943,1
